function,x,method,h_representative,representative_relative_error,reliable_digits,fitted_truncation_slope
cos,0.1,Forward,0.00018387769523542374,0.0011274104060491356,2.9479179609395834,0.9540228639168541
cos,0.1,Central,0.007107279729098082,1.4078166423326735e-05,4.851453905143194,2.036119738818516
cos,0.1,Extrapolated,0.050280872732400894,1.6687904449562467e-06,5.7775981955634315,3.761006919135338
cos,10.0,Forward,0.0006693469476886094,0.0005049419654619153,3.296758533817944,1.0160809587727908
cos,10.0,Central,0.009549045003950596,3.294408789315301e-05,4.482222512048882,1.9920910130775542
cos,10.0,Extrapolated,0.06047322601079941,5.115057971503642e-06,5.291149439847917,3.5490041420793625
exp,0.1,Forward,0.0003707987489178777,9.625823806417886e-05,4.01656209202504,1.0678588782218916
exp,0.1,Central,0.003396738553419709,4.896561242892512e-06,5.310108809260839,1.985128513966904
exp,0.1,Extrapolated,0.05217168480157852,5.819602123713126e-07,6.235106706309321,4.09328492567272
exp,10.0,Forward,0.0006693469476886094,0.0004731068991637722,3.3250407187303206,1.0260095062673111
exp,10.0,Central,0.011068484745919704,2.4696236942848987e-05,4.607369216758946,2.024160409659218
exp,10.0,Extrapolated,0.06047322601079941,4.0334061099734656e-06,5.394328048153277,3.67657398756067
